epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,652.167,0.74537,0.80495,1.19337,0.94633,0.41071,0.44632,0.37464,0.58399,1.22002,0.88811,0.0671941,0.000331373,0.000331373
2,1292.19,0.70645,0.73651,1.16273,0.96456,0.43863,0.46445,0.40091,0.44636,1.01955,0.74996,0.0341722,0.000642771,0.000642771
3,2013.9,0.69115,0.6978,1.15201,0.96659,0.43368,0.46285,0.40277,0.44705,1.36339,0.75883,0.00112825,0.000932169,0.000932169
4,3426.35,0.70185,0.7194,1.15379,0.96504,0.42592,0.46138,0.40024,0.45678,0.74866,0.76395,0.000901,0.000901,0.000901
5,4095.48,0.69672,0.69666,1.15318,0.96787,0.42543,0.46121,0.40303,0.45247,0.60733,0.76447,0.000868,0.000868,0.000868
6,5047.04,0.68453,0.66787,1.13937,0.96804,0.43325,0.46191,0.40359,0.4461,0.734,0.754,0.000835,0.000835,0.000835
7,6685.78,0.68415,0.6923,1.14234,0.9743,0.42861,0.46042,0.4029,0.44477,0.60114,0.75506,0.000802,0.000802,0.000802
8,7308.85,0.67362,0.65835,1.13563,0.97294,0.42983,0.46116,0.40346,0.43642,0.6487,0.75348,0.000769,0.000769,0.000769
9,8380.07,0.68201,0.66236,1.13545,0.95937,0.43056,0.45476,0.39505,0.44393,0.76982,0.75098,0.000736,0.000736,0.000736
10,9153.27,0.65148,0.63608,1.12522,0.97095,0.42415,0.45575,0.40039,0.43617,1.32965,0.74873,0.000703,0.000703,0.000703
11,10780.4,0.65192,0.63551,1.13203,0.97109,0.42635,0.45634,0.39889,0.45004,0.63818,0.75607,0.00067,0.00067,0.00067
12,11400.2,0.63437,0.61838,1.10672,0.96811,0.42713,0.45631,0.40444,0.42292,0.83844,0.7382,0.000637,0.000637,0.000637
13,11997.1,0.63233,0.63827,1.11772,0.9761,0.4237,0.45697,0.41021,0.4107,0.66133,0.73246,0.000604,0.000604,0.000604
14,12608.2,0.63276,0.62519,1.10833,0.96812,0.43227,0.45803,0.4081,0.42334,0.86704,0.74001,0.000571,0.000571,0.000571
15,13206.3,0.61953,0.59683,1.0992,0.9694,0.42641,0.45415,0.40665,0.40651,1.03014,0.7268,0.000538,0.000538,0.000538
16,13798.5,0.61107,0.58944,1.1006,0.96241,0.43203,0.45838,0.40978,0.41162,0.90622,0.7307,0.000505,0.000505,0.000505
17,14406.3,0.62437,0.59097,1.10774,0.97129,0.42616,0.45749,0.40967,0.40531,0.70694,0.72654,0.000472,0.000472,0.000472
18,15004.8,0.61908,0.56502,1.10063,0.97622,0.43087,0.4603,0.41742,0.40951,0.75924,0.72799,0.000439,0.000439,0.000439
19,15600.8,0.59504,0.57209,1.08673,0.96246,0.43594,0.45872,0.41045,0.40453,0.73592,0.72746,0.000406,0.000406,0.000406
20,16195.2,0.59141,0.55842,1.08726,0.97591,0.42543,0.45857,0.41434,0.40141,0.67944,0.72345,0.000373,0.000373,0.000373
21,16784.8,0.52515,0.4989,1.04397,0.97582,0.42332,0.45838,0.41558,0.40631,0.68267,0.72547,0.00034,0.00034,0.00034
22,17377.5,0.51768,0.47002,1.05008,0.96506,0.43081,0.4591,0.41776,0.40578,0.77223,0.72634,0.000307,0.000307,0.000307
23,17967.5,0.50761,0.46934,1.04593,0.98078,0.42197,0.45853,0.41852,0.39693,0.838,0.71686,0.000274,0.000274,0.000274
24,18551.5,0.5009,0.45222,1.03549,0.97977,0.41932,0.45735,0.41703,0.38065,0.71706,0.70919,0.000241,0.000241,0.000241
25,19129.9,0.49659,0.45907,1.03425,0.97438,0.42548,0.45886,0.41915,0.38482,0.77995,0.71105,0.000208,0.000208,0.000208
26,19713.1,0.47716,0.42224,1.02544,0.97463,0.42543,0.46026,0.42313,0.37786,0.8756,0.70835,0.000175,0.000175,0.000175
27,20295,0.47484,0.42745,1.02472,0.97921,0.42277,0.45981,0.42417,0.37154,0.7251,0.69967,0.000142,0.000142,0.000142
28,20875.3,0.4596,0.40466,1.01235,0.97819,0.42356,0.46097,0.42618,0.37352,0.67832,0.70224,0.000109,0.000109,0.000109
29,21455.2,0.45541,0.39942,1.0109,0.98096,0.42274,0.46158,0.42606,0.36624,0.73885,0.69917,7.6e-05,7.6e-05,7.6e-05
30,22037.8,0.45538,0.40833,1.01499,0.98079,0.41907,0.46069,0.42609,0.36386,0.80235,0.69817,4.3e-05,4.3e-05,4.3e-05
